x,y,z,samples
11.687,13.184,-16.494,1012780
11.647,13.162,-16.516,1012781
11.622,13.16,-16.538,1012782
11.705,13.178,-16.479,1012783
11.662,13.168,-16.518,1012784
11.666,13.211,-16.491,1012785
11.775,13.221,-16.382,1012786
11.784,13.203,-16.407,1012787
13.242,13.406,-14.269,1012788
13.621,13.399,-15.725,1012789
11.622,13.184,-16.513,1012790
11.748,13.186,-16.454,1012791
11.831,13.208,-16.43,1012792
11.917,13.268,-16.183,1012793
11.677,13.173,-16.512,1012794
-2.393,-2.679,-13.33,1012795
-2.386,-2.675,-13.323,1012796
-2.384,-2.661,-13.324,1012797
-9.832,0.937,2.177,1013599
-4.317,-2.218,6.914,1013600
-2.527,7.241,5.31,1013699
-4.88,9.034,5.651,1013700
-10.012,16.341,12.076,1013701
-4.081,8.46,6.308,1013702
-4.867,7.702,5.062,1013703
-4.006,8.329,6.267,1013704
-3.994,8.325,6.236,1013705
-3.953,8.3,6.192,1013706
-3.145,7.878,5.689,1013707
-4.647,7.71,4.975,1013708
-3.935,7.961,5.575,1013709
-3.681,7.988,5.541,1013710
-5.313,7.622,5.112,1013711
-4.808,7.659,5.802,1013712
-5.094,7.648,5.091,1013713
-4.498,7.821,5.693,1013714
-4.892,7.619,5.687,1013715
-5.17,7.645,4.943,1013716
-4.134,8.573,6.174,1013717
-4.815,8.924,5.795,1013718
-4.092,8.434,6.216,1013719
-4.372,8.48,5.989,1013720
-21.946,1.178,-16.203,1013721
-22.033,1.159,-16.162,1013722
-20.777,1.004,-17.26,1013723
-22.125,0.887,-16.552,1013724
-21.559,1.462,-16.092,1013725
-21.556,1.461,-16.096,1013726
-4.909,7.697,5.008,1013727
-3.975,8.41,6.181,1013728
-5.028,7.659,4.986,1013729
-5.023,7.677,4.942,1013730
14.49,-0.484,-21.776,1014577
14.521,-0.457,-21.757,1014578
3.869,18.86,-8.041,1015150
3.869,18.857,-8.038,1015151
17.014,-9.456,3.352,1015152
0.038,22.11,18.308,1015153
-23.295,10.933,7.876,1015154
-21.218,0.83,-17.348,1015155
-2.371,16.02,8.365,1017637
-20.62,5.528,9.608,1018808
-20.62,5.526,9.592,1018809
-20.619,5.498,9.559,1018810
-20.613,5.488,9.531,1018811
9.478,20.684,-4.876,1020640
-23.281,-2.171,8.193,1020641
0.72,20.222,18.842,1020643
13.744,-4.004,0.238,1020644
-21.717,0.522,-17.396,1020646
1.532,-0.448,-10.951,1020647
-10.31,7.645,-22.948,1020648
7.421,22.241,-10.793,1020649
-23.351,-2.267,7.951,1020650
0.609,20.153,18.648,1020651
17.089,-9.466,3.129,1020652
9.017,-16.427,5.569,1020653
-21.521,0.742,-17.236,1020654
1.52,-0.417,-10.894,1020655
-10.317,7.75,-22.982,1020656
7.381,22.053,-7.199,1020657
-23.322,-2.278,7.975,1020658
-22.412,9.435,10.373,1020659
14.02,-3.183,2.83,1020661
10.074,-17.01,5.703,1020662
1.538,-0.456,-10.955,1020664
-10.316,7.652,-23.006,1020665
14.636,-6.429,-8.779,1021225
14.637,-6.427,-8.775,1021226
14.632,-6.424,-8.781,1021227
14.635,-6.43,-8.77,1021228
14.636,-6.426,-8.774,1021229
14.636,-6.414,-8.783,1021231
14.636,-6.419,-8.778,1021232
-23.749,-1.447,5.252,1023015
-23.762,-1.443,5.272,1023016
7.632,-2.544,19.483,1024291
7.656,-2.435,19.493,1024292
7.691,-3.473,19.282,1024293
7.63,-2.381,19.477,1024294
7.737,-3.503,19.281,1024295
7.704,-3.517,19.271,1024296
8.673,-4.185,18.965,1024297
8.614,-4.186,19.016,1024298
8.686,-4.273,19.106,1024299
8.697,-4.234,19.105,1024300
14.969,-3.409,18.059,1024311
14.963,-3.383,18.077,1024312
14.971,-3.378,18.088,1024313
4.066,-10.43,-10.616,1026888
4.064,-10.43,-10.62,1026889
4.074,-10.438,-10.61,1026890
4.076,-10.44,-10.603,1026891
4.08,-10.446,-10.592,1026892
4.08,-10.449,-10.599,1026893
4.063,-10.432,-10.624,1026894
4.071,-10.44,-10.622,1026895
4.074,-10.436,-10.605,1026896
4.078,-10.443,-10.603,1026897
4.07,-10.441,-10.624,1026898
4.069,-10.433,-10.617,1026899
4.069,-10.435,-10.617,1026900
4.071,-10.434,-10.613,1026901
4.075,-10.442,-10.61,1026902
4.062,-10.433,-10.628,1026903
4.072,-10.439,-10.617,1026904
4.066,-10.436,-10.621,1026905
4.075,-10.439,-10.609,1026906
4.072,-10.436,-10.614,1026907
0.452,-1.182,5.648,1027242
0.45,-1.183,5.645,1027243
0.45,-1.19,5.651,1027244
0.449,-1.169,5.63,1027245
0.451,-1.172,5.635,1027246
-10.691,7.447,-23.555,1029381
-10.671,7.431,-23.543,1029382
-10.664,7.413,-23.542,1029383
-10.659,7.429,-23.543,1029384
-10.695,7.451,-23.555,1029385
-10.58,7.396,-23.494,1029386
-9.95,7.159,-21.184,1029412
-9.968,7.172,-21.244,1029413
-10.358,7.173,-23.336,1029414
-10.414,7.174,-23.422,1029415
-10.755,7.466,-23.608,1029416
-0.518,3.027,-2.659,1029417
-0.517,3.026,-2.657,1029418
3.9,3.611,4.725,1029433
3.659,3.653,4.835,1029434
4.258,3.499,4.322,1029435
-10.009,7.141,-21.304,1029436
-10.069,7.507,-22.135,1029437
-10.136,7.631,-22.531,1029438
-10.245,7.651,-22.821,1029439
-10.551,6.62,-23.26,1029528
-10.528,6.663,-23.276,1029529
-10.549,6.617,-23.255,1029530
-10.53,6.64,-23.262,1029531
-10.519,6.664,-23.27,1029532
-10.547,6.612,-23.244,1029533
-2.947,15.712,8.506,1030549
-6.272,16.395,10.573,1030550
-2.929,15.81,8.532,1030551
-1.337,20.927,9.525,1030552
-1.328,20.968,9.547,1030553
9.743,-5.137,19.612,1032186
3.687,-1.635,16.915,1032187
1.065,10.262,9.624,1032501
7.398,-1.754,19.271,1032502
1.504,9.669,9.776,1032503
